SSDSE-A-2023,Prefecture,Municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2108,C210832,C210833,C210835,C210836,C210837,C210838,C210839,C210840,C210841,C210844,C210845,C210846,C210847,C210848,C210849,C210850,C210851,C210852,C2208,C220832,C220833,C220835,C220836,C220837,C220838,C220839,C220840,C220841,C220844,C220845,C220846,C220847,C220848,C220849,C220850,C220851,C220852,C310201,C310202,D1202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3901,E3904,E3905,E3906,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J250302
,,îNìx,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2019,2019,2021,2019,2019,2019,2019,2019,2019,2019,2019,2019,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2018,2020,2020,2016,2016,2016,2020,2020,2020,2020,2020,2020,2020
ínàÊÉRÅ[Éh,ìsìπï{åß,ésãÊí¨ë∫,ëçêlå˚,ëçêlå˚ÅiíjÅj,ëçêlå˚ÅièóÅj,ì˙ñ{êlêlå˚,ì˙ñ{êlêlå˚ÅiíjÅj,ì˙ñ{êlêlå˚ÅièóÅj,15çŒñ¢ñûêlå˚,15çŒñ¢ñûêlå˚ÅiíjÅj,15çŒñ¢ñûêlå˚ÅièóÅj,15Å`64çŒêlå˚,15Å`64çŒêlå˚ÅiíjÅj,15Å`64çŒêlå˚ÅièóÅj,65çŒà»è„êlå˚,65çŒà»è„êlå˚ÅiíjÅj,65çŒà»è„êlå˚ÅièóÅj,75çŒà»è„êlå˚,75çŒà»è„êlå˚ÅiíjÅj,75çŒà»è„êlå˚ÅièóÅj,äOçëêlêlå˚,èoê∂êî,éÄñSêî,ì]ì¸é“êîÅiì˙ñ{êlà⁄ìÆé“Åj,ì]èoé“êîÅiì˙ñ{êlà⁄ìÆé“Åj,ê¢ë—êî,àÍî ê¢ë—êî,àÍî ê¢ë—êlàıêî,äjâ∆ë∞ê¢ë—êî,íPì∆ê¢ë—êî,65çŒà»è„ÇÃê¢ë—àıÇÃÇ¢ÇÈäjâ∆ë∞ê¢ë—êî,ïv65çŒà»è„ÅAç»60çŒà»è„ÇÃïvïwÇÃÇ›ÇÃê¢ë—êî,65çŒà»è„ê¢ë—àıÇÃíPì∆ê¢ë—êî,ç•à˜åèêî,ó£ç•åèêî,ëçñ êœÅiñkï˚ínàÊãyÇ—í|ìáÇèúÇ≠Åj,â¬èZínñ êœ,éñã∆èäêîÅiñØâcÅj,éñã∆èäêîÅiñØâcÅjÅiî_ã∆ÅCó—ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiãôã∆Åj,éñã∆èäêîÅiñØâcÅjÅiçzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆Åj,éñã∆èäêîÅiñØâcÅjÅiåöê›ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiêªë¢ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆Åj,éñã∆èäêîÅiñØâcÅjÅièÓïÒí êMã∆Åj,éñã∆èäêîÅiñØâcÅjÅiâ^óAã∆ÅCóXï÷ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiâµîÑã∆ÅCè¨îÑã∆Åj,éñã∆èäêîÅiñØâcÅjÅiã‡óZã∆ÅCï€åØã∆Åj,éñã∆èäêîÅiñØâcÅjÅiïsìÆéYã∆ÅCï®ïií¿ë›ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆Åj,éñã∆èäêîÅiñØâcÅjÅièhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆Åj,éñã∆èäêîÅiñØâcÅjÅiê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆Åj,éñã∆èäêîÅiñØâcÅjÅiã≥àÁÅCäwèKéxâáã∆Åj,éñã∆èäêîÅiñØâcÅjÅià„ó√ÅCïüéÉÅj,éñã∆èäêîÅiñØâcÅjÅiï°çáÉTÅ[ÉrÉXéñã∆Åj,éñã∆èäêîÅiñØâcÅjÅiÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅjÅj,è]ã∆é“êîÅiñØâcÅj,è]ã∆é“êîÅiñØâcÅjÅiî_ã∆ÅCó—ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiãôã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiçzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiåöê›ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiêªë¢ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆Åj,è]ã∆é“êîÅiñØâcÅjÅièÓïÒí êMã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiâ^óAã∆ÅCóXï÷ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiâµîÑã∆ÅCè¨îÑã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiã‡óZã∆ÅCï€åØã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiïsìÆéYã∆ÅCï®ïií¿ë›ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆Åj,è]ã∆é“êîÅiñØâcÅjÅièhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiã≥àÁÅCäwèKéxâáã∆Åj,è]ã∆é“êîÅiñØâcÅjÅià„ó√ÅCïüéÉÅj,è]ã∆é“êîÅiñØâcÅjÅiï°çáÉTÅ[ÉrÉXéñã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅjÅj,î_â∆êîÅiîÃîÑî_â∆Åj,î_â∆êîÅié©ããìIî_â∆Åj,àÍî çsê≠ïîñÂêEàıêîÅiésãÊí¨ë∫Åj,åoèÌé˚éxî‰ó¶Åiésí¨ë∫ç‡ê≠Åj,é¿éøåˆç¬îÔî‰ó¶Åiésí¨ë∫ç‡ê≠Åj,çŒì¸åàéZëçäzÅiésí¨ë∫ç‡ê≠Åj,ínï˚ê≈Åiésí¨ë∫ç‡ê≠Åj,çŒèoåàéZëçäzÅiésí¨ë∫ç‡ê≠Åj,ñØê∂îÔÅiésí¨ë∫ç‡ê≠Åj,ìyñÿîÔÅiésí¨ë∫ç‡ê≠Åj,ã≥àÁîÔÅiésí¨ë∫ç‡ê≠Åj,ç–äQïúãåîÔÅiésí¨ë∫ç‡ê≠Åj,ócítâÄêî,ócítâÄç›âÄé“êî,è¨äwçZêî,è¨äwçZã≥àıêî,è¨äwçZéôì∂êî,íÜäwçZêî,íÜäwçZã≥àıêî,íÜäwçZê∂ìkêî,ã`ñ±ã≥àÁäwçZêî,ã`ñ±ã≥àÁäwçZã≥àıêî,ã`ñ±ã≥àÁäwçZëOä˙â€íˆéôì∂êî,ã`ñ±ã≥àÁäwçZå„ä˙â€íˆê∂ìkêî,çÇìôäwçZêî,çÇìôäwçZê∂ìkêî,èAã∆é“êî,èAã∆é“êîÅiíjÅj,èAã∆é“êîÅièóÅj,äÆëSé∏ã∆é“êî,äÆëSé∏ã∆é“êîÅiíjÅj,äÆëSé∏ã∆é“êîÅièóÅj,îÒòJì≠óÕêlå˚,îÒòJì≠óÕêlå˚ÅiíjÅj,îÒòJì≠óÕêlå˚ÅièóÅj,ëÊÇPéüéYã∆èAã∆é“êî,ëÊÇQéüéYã∆èAã∆é“êî,ëÊÇRéüéYã∆èAã∆é“êî,åˆñØäŸêî,ê}èëäŸêî,ëçêlå˚ÅiîÒêÖêÙâªêlå˚Å{êÖêÙâªêlå˚Åj,îÒêÖêÙâªêlå˚,è¨îÑìXêî,à˘êHìXêî,ëÂå^è¨îÑìXêî,àÍî ïaâ@êî,àÍî êfó√èäêî,éïâ»êfó√èäêî,à„étêî,éïâ»à„étêî,ñÚç‹étêî,ï€àÁèäìôêîÅiäÓñ{ï[Åj
R01100,ñkäCìπ,éDñyés,1973395,918682,1054713,1933094,897727,1035367,215366,110196,105170,1185724,566874,618850,541242,224966,316276,264920,98452,166468,12634,12259,20261,115389,105713,969161,967372,1916478,496691,422160,195527,110890,121789,9131,3691,112126,43879,72451,93,2,8,6400,2349,46,1396,1639,18137,1369,7276,3985,9859,6261,2140,6680,294,4516,838911,875,16,68,59550,36190,3019,29973,42158,192192,26134,32255,29672,83819,38382,32499,127350,7616,97140,347,280,7396,95.3,2.1,1004028030,338947135,992751320,432093082,122819403,150836898,6541146,101,15815,201,5139,89713,107,3066,45601,0,0,0,0,51,41997,845953,445866,400087,41269,23450,17819,576925,192964,383961,3983,115924,697967,1,12,1961682,6049,11197,8502,355,178,1375,1205,6978,2142,5758,343
R01202,ñkäCìπ,îüäŸés,251084,113965,137119,248208,112718,135490,23560,11984,11576,134953,64971,69982,89257,35342,53915,45963,16118,29845,989,1231,3827,7856,8650,121793,121455,240342,62606,50901,30158,16719,22337,929,431,67787,12281,12918,20,20,3,1134,579,11,95,265,3400,263,914,432,2094,1340,363,1000,97,888,112081,150,251,23,8268,9559,395,1246,6504,24511,3061,2838,2396,13421,5950,3180,19255,1412,9661,146,132,1248,93.1,7.3,137782620,32404550,136199691,60755210,12616464,15551107,108471,12,1099,43,747,9887,23,451,5565,1,22,44,28,14,6449,109183,57529,51654,5592,3269,2323,86816,28978,57838,3202,17553,84172,2,1,252647,24844,2533,1749,41,26,207,126,822,182,683,53
R01203,ñkäCìπ,è¨íMés,111299,50136,61163,109971,49441,60530,9169,4678,4491,55643,26790,28853,45426,18009,27417,24086,8559,15527,552,425,1932,2756,3146,52817,52615,106082,28930,20657,15757,8822,11095,318,144,24383,8528,5677,3,7,0,400,425,7,23,222,1679,81,190,133,896,529,149,520,38,375,50240,38,107,0,2487,8433,208,105,3401,10726,866,717,713,4895,3711,1399,8876,545,3013,54,58,688,99.4,7.5,56464859,13594349,56282977,25933163,6038344,3761144,0,12,738,17,340,3947,13,223,2211,0,0,0,0,7,3001,44785,23313,21472,2850,1689,1161,46101,16224,29877,619,7572,35719,0,1,111634,2310,1289,778,17,11,80,78,338,105,334,23
R01204,ñkäCìπ,àÆêÏés,329306,152108,177198,325287,150318,174969,34691,17797,16894,178060,85575,92485,112411,46768,65643,58032,22143,35889,1082,1913,4617,9489,10008,156195,155625,315003,86206,61540,39798,24072,24821,1280,545,74766,35018,14493,72,0,2,1376,747,8,109,363,3728,332,1118,491,2042,1393,307,1436,78,890,139204,730,0,8,11371,10723,528,1010,8626,33143,3711,3376,2892,13217,6027,4581,25884,1684,11688,843,273,1547,94.9,8.1,160957753,40283960,159484778,73814951,19533760,13273044,164320,26,2242,53,1218,14546,27,642,7841,0,0,0,0,13,8829,146321,77721,68600,6921,4052,2869,118878,41158,77720,3761,24253,114977,27,5,331951,8860,2612,1743,65,36,225,171,1364,246,876,71
R01205,ñkäCìπ,é∫óñés,82383,40390,41993,81658,39960,41698,7769,3916,3853,43398,23259,20139,30330,12565,17765,16418,6265,10153,380,421,1236,2725,3349,41766,41660,79836,20845,18890,10730,6481,7410,294,118,8101,4331,4150,1,0,0,438,210,4,34,123,1007,97,262,132,709,356,87,297,24,369,42879,28,0,0,5209,7477,182,557,2527,7361,937,820,1229,3505,1398,1390,5763,396,4100,12,8,353,96.3,9.3,45923510,13510349,45284580,17776538,5961096,5186500,6532,9,831,9,229,3162,8,141,1657,0,0,0,0,6,2654,34733,20173,14560,1661,1128,533,33134,12133,21001,324,9155,24690,0,1,81909,2216,748,621,11,6,52,40,249,56,193,11
R01206,ñkäCìπ,ã˙òHés,165077,77506,87571,163026,76789,86237,16634,8495,8139,90595,44886,45709,56355,23465,32890,28354,10823,17531,815,863,2271,5389,6137,80349,80095,159067,42053,33385,19578,11513,13290,633,308,136329,31168,8268,26,20,10,712,340,13,47,283,1970,188,785,265,1353,778,204,632,46,596,70112,303,269,438,5489,5938,384,392,5773,15110,2159,1875,1461,7786,3192,1548,11289,543,6163,129,18,912,96.8,10.9,93915281,21189705,93835143,38987066,8420412,8154144,45813,24,1780,25,570,6537,15,328,3634,2,58,377,285,8,4033,69198,37549,31649,2878,1686,1192,56593,20000,36593,1511,12561,53046,1,2,166089,8878,1391,1151,29,15,78,85,379,107,374,26
R01207,ñkäCìπ,ë—çLés,166536,79623,86913,165759,79211,86548,19073,9762,9311,96804,48097,48707,49000,20616,28384,24870,9548,15322,717,1076,1839,7212,7005,80175,79933,160130,42007,33848,17351,10492,11065,835,275,61934,38130,8804,72,1,4,868,338,9,74,185,2245,208,436,358,1562,829,256,712,45,601,78576,729,6,27,6908,5331,277,623,4385,18833,2405,1827,2297,9244,3528,1551,13303,426,6872,580,27,793,91.6,8.9,85539405,22791846,85168941,32588156,10000941,6889772,0,13,1733,26,632,7812,14,340,3978,0,0,0,0,8,5071,74554,40187,34367,2668,1541,1127,44613,15031,29582,3616,12675,54217,0,1,165750,3341,1567,1378,32,17,110,96,538,145,417,29
R01208,ñkäCìπ,ñkå©és,115480,54729,60751,114601,54346,60255,12014,6170,5844,63217,31713,31504,38841,16230,22611,20031,7673,12358,402,611,1512,3671,3799,55188,55024,111882,29872,21801,13824,8404,7846,467,201,142741,42794,5516,128,18,3,501,240,12,44,152,1472,118,335,185,809,483,107,451,45,411,49853,986,253,29,4843,3577,245,470,2739,12258,1316,1131,929,4781,2069,1437,7596,801,4388,713,126,792,95,8,72538941,14662609,72071608,22904782,9920805,6320570,9580,7,556,23,476,5043,13,269,2691,1,24,33,22,8,2812,49777,26904,22873,1832,1081,751,35130,12303,22827,3219,8212,36556,8,8,115641,3589,1039,663,28,12,63,51,234,74,222,27
R01209,ñkäCìπ,ó[í£és,7334,3381,3953,7247,3373,3874,411,199,212,3093,1609,1484,3828,1571,2257,2262,818,1444,87,22,186,163,330,3807,3790,6902,1811,1766,1216,735,1095,23,6,76307,11466,435,4,0,0,27,21,3,2,12,126,4,7,5,54,47,4,42,15,62,2921,39,0,0,219,699,19,3,103,530,20,17,12,274,104,11,559,109,203,111,18,87,126.3,69.9,11318450,921776,10742316,2310078,1269998,303011,1998,0,0,1,22,171,1,19,100,0,0,0,0,1,53,3085,1687,1398,242,157,85,3455,1265,2190,518,678,1880,1,0,7302,3089,119,40,0,0,6,4,7,7,16,3
R01210,ñkäCìπ,ä‚å©ëÚés,79306,37105,42201,79031,36970,42061,7859,3961,3898,42391,21004,21387,28880,12062,16818,15113,5691,9422,196,369,1094,2420,2758,35584,35476,76126,20315,12581,10037,5774,6056,294,130,48102,32071,3230,96,0,1,301,120,3,29,77,776,55,244,124,445,324,67,296,26,246,28621,801,0,16,2536,2597,110,159,1833,6166,575,646,622,2607,1391,460,4985,558,2559,854,166,409,98.5,7.4,47880659,8547292,47719315,14898313,7185137,4885656,1644,5,644,14,297,3413,9,179,1818,0,0,0,0,4,2220,34045,18427,15618,1636,1037,599,29663,10443,19220,2695,6014,24329,0,2,79614,3832,625,381,10,5,58,49,178,67,141,18
R01211,ñkäCìπ,ñ‘ëñés,35759,18060,17699,35429,17962,17467,3731,1932,1799,20405,11042,9363,11259,4818,6441,5595,2198,3397,321,200,427,1515,1824,17253,17193,34107,8505,7618,3977,2386,2383,135,59,47100,22995,1861,36,23,1,174,103,2,15,39,429,36,143,71,306,165,33,126,19,140,15757,614,203,4,1348,1744,38,106,620,3116,384,328,426,2062,615,523,2201,426,999,305,18,245,98.4,17.4,23148521,4758447,22935709,6440779,2835804,2071392,0,3,223,9,177,1515,6,109,772,0,0,0,0,2,919,16723,9393,7330,578,363,215,12233,4938,7295,2195,2555,11448,0,1,34696,1266,345,242,5,3,14,15,54,20,53,4
R01212,ñkäCìπ,óØñGés,20114,9649,10465,19940,9610,10330,1711,885,826,9981,5234,4747,7425,3002,4423,3944,1467,2477,134,99,320,795,1074,9816,9784,19120,4915,4121,2540,1559,1708,84,33,29784,3294,1107,4,1,2,92,37,4,8,47,310,29,44,38,170,109,14,83,10,105,8065,37,20,13,950,871,48,49,641,1926,255,143,173,647,377,65,1121,207,522,61,19,160,96.7,14.3,13704541,2279419,13412428,3750468,2242070,1036382,7155,2,190,5,102,747,2,47,420,0,0,0,0,1,501,9601,5469,4132,453,283,170,7079,2347,4732,315,1896,7344,1,1,20024,1409,243,137,3,2,15,11,48,12,49,3
R01213,ñkäCìπ,ìœè¨ñqés,170113,83522,86591,168873,82739,86134,20426,10593,9833,96847,49324,47523,50022,21637,28385,23635,9242,14393,722,1139,1950,5748,5564,80130,79962,164852,44385,31627,18268,11128,11075,791,338,56165,23136,7339,18,2,5,941,347,14,33,458,1738,147,332,238,1039,679,230,550,28,540,78882,497,19,118,8047,11621,383,463,8444,15466,1456,1436,1212,6675,4061,1508,9844,922,6710,34,19,781,89.4,6.7,81716525,28199494,79917443,34141609,8545870,9583687,0,11,1498,23,589,8715,16,358,4431,0,0,0,0,7,3807,76046,43267,32779,2924,1714,1210,50281,16776,33505,1457,19227,52507,1,1,170370,349,1232,859,26,10,89,74,343,110,312,27
R01214,ñkäCìπ,ítì‡és,33563,16651,16912,33083,16509,16574,3484,1806,1678,18920,10016,8904,11025,4739,6286,5458,2105,3353,435,187,448,1150,1560,16060,15944,32492,8397,6492,4004,2303,2454,116,70,76142,32075,1936,12,14,3,193,121,6,14,45,468,51,125,52,338,180,28,101,24,161,15156,128,262,10,1915,1992,88,118,959,3456,445,273,258,1591,743,189,1173,375,1181,135,4,226,94.4,12.2,30273186,4714419,30071224,5735917,4560254,2776177,0,5,364,11,150,1418,7,102,742,0,0,0,0,2,855,16459,9610,6849,831,525,306,10760,3610,7150,1407,3525,11265,0,1,33150,663,312,273,5,3,16,11,47,16,52,6
R01215,ñkäCìπ,î¸âSés,20413,9565,10848,20343,9527,10816,1539,813,726,10169,5143,5026,8642,3575,5067,4739,1786,2953,44,64,387,510,669,9434,9359,19238,5004,3617,2842,1665,2122,54,26,27769,15755,970,34,0,4,108,64,2,3,31,200,16,71,12,127,105,25,65,14,89,7368,207,0,28,869,843,26,27,591,1209,149,138,112,634,428,73,1295,273,466,486,74,206,101.1,13.2,15592364,2066758,15389855,4585929,1961660,1121673,0,2,99,2,51,636,2,39,374,0,0,0,0,2,511,9257,5086,4171,358,233,125,8632,3111,5521,1204,1927,5948,4,1,20328,3406,167,104,1,3,11,13,42,16,26,5
R01216,ñkäCìπ,à∞ï és,12555,5762,6793,12536,5758,6778,845,435,410,5705,2854,2851,5995,2464,3531,3412,1304,2108,17,40,280,272,375,6055,6021,11914,3377,2241,2047,1258,1439,30,19,86504,14122,639,20,0,3,44,39,1,3,12,159,13,19,7,99,71,11,55,13,70,4891,243,0,77,305,1233,8,8,223,891,78,34,26,366,220,66,736,81,296,203,41,150,97.8,5.9,11242875,1448541,10986802,3063134,1232710,857411,1,1,91,2,41,356,2,29,193,0,0,0,0,1,157,5308,2863,2445,313,203,110,5682,2054,3628,547,1443,3292,0,1,12603,1879,135,84,1,2,3,8,15,9,22,1
R01217,ñkäCìπ,ç]ï és,121056,57523,63533,119589,56702,62887,13400,6786,6614,69555,34012,35543,36783,15876,20907,18112,7027,11085,635,638,1265,4794,4125,53977,53869,117451,32535,18549,14241,8373,6686,292,164,18738,16819,3351,40,0,0,395,152,5,22,91,757,46,224,114,356,330,176,408,21,214,33426,449,0,0,2698,4085,109,722,1861,7233,414,720,860,2429,1451,2213,5163,411,2608,304,31,489,94.4,7.1,46582271,12658606,46059796,18311321,6568246,3794656,136513,6,823,17,423,5759,9,281,3503,0,0,0,0,5,3857,53400,28888,24512,2506,1551,955,42623,15420,27203,1480,9256,40708,3,4,119883,1091,596,297,25,5,69,64,167,89,194,18
R01218,ñkäCìπ,ê‘ïΩés,9698,4388,5310,9631,4355,5276,603,299,304,4280,2139,2141,4669,1878,2791,2624,979,1645,67,25,228,193,255,4494,4463,8623,2307,1831,1420,860,1131,22,8,12988,3727,431,4,0,1,43,34,0,2,16,115,8,12,5,56,48,3,36,7,41,4069,44,0,18,442,1180,0,3,214,615,56,31,13,202,126,5,911,35,174,68,11,112,93.5,12.9,9567426,838894,9116652,2639378,1187682,827690,6699,1,31,3,44,267,1,19,174,0,0,0,0,0,0,4045,2163,1882,215,143,72,4683,1707,2976,182,1066,2784,2,1,9719,1813,107,46,1,2,3,5,25,6,23,2
R01219,ñkäCìπ,ñ‰ï és,21215,9901,11314,20674,9803,10871,1971,992,979,11515,5782,5733,7697,3104,4593,4066,1474,2592,529,91,336,768,814,11214,11192,20546,5502,5326,2657,1722,2209,73,46,83067,17777,1254,13,5,1,108,100,3,8,45,323,31,83,33,190,117,23,54,16,101,9289,167,87,4,856,1848,48,127,553,1960,173,175,138,873,397,110,948,201,624,70,9,218,90.8,10.1,25909831,2917388,25458011,4503619,2891805,1582106,2958,1,50,6,107,834,3,51,416,0,0,0,0,1,434,9688,5172,4516,381,242,139,6990,2330,4660,949,2392,6288,3,1,21156,1650,234,161,2,5,7,10,38,13,26,5
R01220,ñkäCìπ,émï és,17858,8416,9442,17756,8349,9407,1652,855,797,8803,4490,4313,7350,3044,4306,4118,1590,2528,76,71,264,433,680,8184,8157,17188,4660,2849,2510,1638,1467,43,27,111922,28428,1069,42,0,3,108,52,2,3,18,256,16,62,27,156,96,25,91,17,95,7540,516,0,13,1132,514,7,16,238,1537,138,102,294,591,285,90,803,260,1004,467,57,226,99.5,13.3,18678330,2267164,18660622,3886451,1627929,1616720,0,3,115,6,99,670,4,63,399,0,0,0,0,2,375,8810,4916,3894,225,151,74,6195,2041,4154,1481,1525,5454,17,2,17967,1012,209,127,3,1,12,9,20,9,30,3
R01221,ñkäCìπ,ñºäÒés,27282,13322,13960,27014,13167,13847,3018,1561,1457,15232,7893,7339,8747,3682,5065,4754,1846,2908,50,161,297,1291,1528,12810,12725,25708,6650,5303,3076,1917,1822,121,45,53520,20056,1404,20,0,1,104,54,2,10,40,361,32,141,42,216,142,33,92,14,100,10169,152,0,16,848,620,67,76,644,2795,287,236,201,1127,478,187,1369,219,847,473,107,252,93.2,9.2,21112169,3109947,20731921,5052704,1776468,3606398,540,3,286,7,131,1201,4,78,637,0,0,0,0,2,426,13689,7763,5926,290,180,110,8871,3033,5838,1367,1519,10479,19,2,27124,1032,291,184,5,4,10,15,88,22,56,5
R01222,ñkäCìπ,éOä}és,8040,3631,4409,8025,3621,4404,655,315,340,3566,1845,1721,3819,1471,2348,2253,779,1474,15,38,194,293,367,3816,3799,7465,1994,1583,1185,648,1037,20,3,30252,5849,393,10,0,1,38,28,2,0,15,113,6,7,3,41,45,2,27,7,48,3025,197,0,18,312,522,6,0,149,667,24,27,18,210,143,12,424,36,260,55,14,113,98.7,8,11597386,874825,11476823,2583512,1258583,1405549,13565,0,0,2,32,257,2,26,134,0,0,0,0,1,110,3147,1729,1418,258,190,68,3875,1340,2535,233,658,2238,1,1,8182,2126,99,33,1,2,4,3,9,3,13,2
