SSDSE-A-2023,Prefecture,Municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2108,C210832,C210833,C210835,C210836,C210837,C210838,C210839,C210840,C210841,C210844,C210845,C210846,C210847,C210848,C210849,C210850,C210851,C210852,C2208,C220832,C220833,C220835,C220836,C220837,C220838,C220839,C220840,C220841,C220844,C220845,C220846,C220847,C220848,C220849,C220850,C220851,C220852,C310201,C310202,D1202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3901,E3904,E3905,E3906,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J250302
R01395,ñkäCìπ,ÉjÉZÉRí¨,5074,2624,2450,4799,2445,2354,619,339,280,2797,1484,1313,1307,595,712,637,245,392,246,42,56,279,286,2515,2511,4986,1176,1146,466,266,281,25,4,19713,5280,290,7,0,2,20,11,0,2,10,55,3,9,6,98,26,4,15,3,19,1892,44,0,15,147,81,0,4,125,207,19,26,8,844,146,12,118,22,74,127,5,66,86.5,10.9,5051644,963849,4866113,662604,565427,626537,1529,1,33,2,31,293,1,13,103,0,0,0,0,1,52,2623,1524,1099,132,78,54,1272,434,838,433,383,1772,0,1,4967,950,50,38,0,0,2,2,2,3,4,1
R01396,ñkäCìπ,ê^éÎë∫,2045,1035,1010,2008,1006,1002,242,131,111,1098,602,496,705,302,403,389,148,241,37,13,29,68,107,903,900,1937,462,347,230,142,130,7,3,11425,3696,90,7,0,0,5,3,0,0,4,21,1,1,1,18,5,0,10,2,12,520,51,0,0,31,19,0,0,34,121,5,1,26,35,14,0,89,47,47,124,7,50,95.4,11.2,2737978,225023,2647193,442784,332857,420311,0,0,0,2,20,93,1,12,45,0,0,0,0,1,85,1146,656,490,34,17,17,622,231,391,446,87,603,1,0,2043,407,17,16,0,0,3,1,2,1,3,1
R01397,ñkäCìπ,óØéıìsë∫,1911,971,940,1798,923,875,234,115,119,1184,638,546,493,218,275,270,106,164,113,14,18,103,96,959,956,1835,398,496,161,98,87,2,2,11984,4731,101,2,0,0,3,5,0,0,3,30,1,7,0,24,4,3,4,3,12,1150,25,0,0,23,40,0,0,49,166,6,11,0,719,8,9,47,19,28,87,4,57,84.7,8.7,2893510,406134,2872757,424914,584439,336762,0,0,0,1,13,96,1,12,49,0,0,0,0,1,54,1241,699,542,16,9,7,418,147,271,354,93,794,1,0,1884,277,26,13,0,0,2,1,2,1,0,1
R01398,ñkäCìπ,äÏñŒï í¨,2156,1112,1044,2093,1093,1000,177,92,85,1044,560,484,805,366,439,467,199,268,63,11,40,86,82,1130,1118,2008,474,580,271,168,160,7,2,18941,3538,129,3,0,0,8,6,1,0,8,38,2,1,0,24,9,1,13,3,12,883,13,0,0,120,160,3,0,85,165,8,1,0,87,36,1,151,21,32,76,4,56,90.5,9.8,3036759,315702,3004416,539724,429091,187424,92,0,0,2,16,69,1,11,42,0,0,0,0,0,0,1081,595,486,19,13,6,734,309,425,245,135,700,0,0,2038,176,32,19,0,0,2,2,2,2,1,1
R01399,ñkäCìπ,ãûã…í¨,2941,1420,1521,2887,1410,1477,297,158,139,1446,733,713,1114,483,631,639,251,388,53,20,54,78,112,1269,1265,2723,710,440,352,208,169,10,3,23149,3761,174,11,1,0,18,12,0,0,6,35,3,12,1,29,16,3,9,3,15,1405,114,8,0,178,199,0,0,131,173,9,42,4,126,40,3,220,52,106,76,8,62,77.8,7.1,4031940,1917491,3929821,637140,805598,340800,0,0,0,1,19,130,1,11,88,0,0,0,0,0,0,1526,824,702,39,32,7,914,327,587,278,307,841,1,0,2922,66,29,21,0,0,2,2,3,3,2,1
R01400,ñkäCìπ,ã‰ímà¿í¨,15129,7787,7342,14257,7301,6956,1941,999,942,9096,4995,4101,3731,1611,2120,1838,710,1128,589,126,121,1008,1129,7631,7602,14660,3549,3667,1359,805,813,98,35,26134,7105,910,14,0,0,63,24,4,6,22,206,13,99,34,194,76,21,57,6,71,6936,139,0,0,535,269,106,15,398,1512,129,326,118,1042,488,96,842,319,602,161,21,138,86.1,7.2,9991713,3121464,9657517,1893077,1678581,1041502,0,2,168,5,85,828,1,31,373,0,0,0,0,2,445,8009,4736,3273,272,163,109,3747,1267,2480,673,918,6246,1,0,15278,719,163,132,2,1,11,7,41,9,28,2
R01401,ñkäCìπ,ã§òaí¨,5772,3047,2725,5763,3044,2719,650,340,310,3273,1884,1389,1826,800,1026,984,387,597,9,43,84,224,256,2728,2723,5697,1382,1128,654,386,357,32,7,30492,10186,225,11,0,2,34,11,1,0,12,51,2,9,4,26,13,3,12,7,27,1681,81,0,8,336,319,4,0,137,314,5,28,15,99,39,10,130,76,80,293,54,85,87.9,8.6,5530852,735957,5428425,1066166,861017,652372,0,2,36,3,41,282,1,15,114,0,0,0,0,0,0,3216,2031,1185,74,46,28,1691,544,1147,788,663,1740,0,0,5768,1854,44,9,0,0,4,3,2,5,1,1
R01402,ñkäCìπ,ä‚ì‡í¨,11648,5500,6148,11599,5477,6122,1106,574,532,6157,3149,3008,4364,1757,2607,2283,830,1453,47,57,216,372,518,5750,5736,11314,3014,2366,1479,883,1239,43,22,7060,1384,802,2,0,0,95,47,2,1,16,193,19,67,14,157,73,15,48,7,46,4870,3,0,0,863,657,30,2,155,887,132,107,52,615,200,50,713,45,359,24,5,122,95.3,15.4,6913057,1213634,6871228,1882302,1197534,427044,0,2,116,2,36,474,2,33,249,0,0,0,0,1,264,5633,3142,2491,243,148,95,4358,1458,2900,180,1755,3672,0,0,11724,6701,160,115,1,1,10,7,17,7,27,3
R01403,ñkäCìπ,îëë∫,1569,784,785,1566,784,782,147,80,67,797,461,336,625,243,382,383,133,250,3,9,41,59,65,813,808,1473,339,431,172,94,184,3,2,8227,544,104,0,1,0,28,1,4,0,1,24,1,0,5,12,5,0,5,5,12,1952,0,4,0,944,35,558,0,7,82,2,0,61,63,8,0,95,32,61,1,0,56,39.4,1,4236233,2216513,4164256,605941,696613,264713,0,0,0,1,11,54,1,15,42,0,0,0,0,0,0,790,497,293,19,13,6,612,194,418,68,118,600,1,0,1576,5,20,1,0,0,3,1,2,1,0,1
R01404,ñkäCìπ,ê_åbì‡ë∫,870,400,470,869,399,470,65,28,37,357,195,162,448,177,271,280,89,191,1,4,20,27,17,401,396,753,181,181,109,68,108,2,2,14779,972,63,0,1,0,3,1,0,0,1,21,0,1,0,12,5,0,8,2,8,248,0,8,0,11,7,0,0,3,64,0,2,0,40,6,0,84,7,16,0,0,35,97.5,5.5,2734843,79063,2609855,608566,125824,163667,0,0,0,1,11,24,1,11,19,0,0,0,0,0,0,391,230,161,15,11,4,399,131,268,54,46,289,0,0,819,502,19,5,0,0,1,1,2,1,0,1
R01405,ñkäCìπ,êœíOí¨,1831,855,976,1827,851,976,148,81,67,823,427,396,859,346,513,476,185,291,4,4,39,46,56,883,881,1799,462,340,303,156,221,1,1,23813,5114,122,0,1,0,7,3,0,0,3,37,1,0,0,41,8,1,4,5,11,567,0,8,0,40,20,0,0,18,102,3,0,0,235,10,4,47,15,65,23,21,49,89.2,10.1,2907218,168134,2828036,437308,187162,250863,0,0,0,4,22,55,1,11,37,0,0,0,0,0,0,941,531,410,30,23,7,698,212,486,264,115,535,0,0,1911,962,33,22,0,0,2,1,1,2,2,1
R01406,ñkäCìπ,å√ïΩí¨,2745,1307,1438,2692,1301,1391,207,111,96,1297,659,638,1154,492,662,643,255,388,53,3,56,60,87,1282,1246,2508,636,498,401,209,299,3,8,18836,2674,169,2,0,0,21,15,1,0,3,41,3,3,0,21,21,1,17,3,17,1069,8,0,0,141,331,2,0,25,127,12,4,0,57,44,1,197,47,73,10,7,57,80.2,9.1,3817597,217227,3755173,967985,342454,187841,49242,0,0,1,19,88,1,14,47,0,0,0,0,0,0,1320,717,603,31,21,10,1094,410,684,192,355,766,0,0,2850,1267,38,14,0,0,1,2,1,2,2,1
R01407,ñkäCìπ,êmñÿí¨,3180,1526,1654,3113,1504,1609,344,178,166,1554,803,751,1282,545,737,673,247,426,67,19,56,134,136,1332,1310,2824,725,470,415,235,237,11,5,16796,4069,148,10,0,0,11,9,0,0,7,34,1,5,1,15,9,1,23,4,18,1104,86,0,0,49,118,0,0,49,191,7,14,1,72,15,50,320,56,76,294,15,57,88.8,9.9,3671314,338734,3639372,840302,385195,259974,0,0,0,2,23,159,2,29,80,0,0,0,0,0,0,1675,879,796,40,26,14,1085,424,661,801,132,722,0,0,3266,1791,24,10,0,0,3,2,2,2,1,1
R01408,ñkäCìπ,ó]ésí¨,18000,8342,9658,17863,8301,9562,1667,839,828,9020,4528,4492,7260,2943,4317,3830,1374,2456,125,83,288,577,696,8283,8235,16995,4552,3121,2458,1467,1647,42,21,14059,4749,912,12,0,1,72,71,2,2,16,255,12,60,16,130,95,20,95,6,47,6881,109,0,4,514,790,29,3,225,1866,196,114,93,473,358,130,1481,131,365,340,21,157,93.5,8.6,9148451,1802135,8905480,2816868,996802,887035,0,3,233,4,64,696,3,49,411,0,0,0,0,2,302,8136,4299,3837,434,293,141,7103,2559,4544,1401,1208,5480,1,1,18056,4013,205,94,4,1,14,12,27,15,36,3
R01409,ñkäCìπ,ê‘à‰êÏë∫,1165,606,559,1105,573,532,131,66,65,673,384,289,361,156,205,185,71,114,60,7,16,48,68,621,614,1124,269,324,126,80,79,4,3,28009,1715,58,5,0,0,5,4,1,0,2,12,0,0,1,9,3,0,3,3,10,610,60,0,0,45,39,7,0,7,103,0,0,2,134,66,0,44,10,93,80,3,38,99.7,6.3,2186934,273386,2179374,321957,404265,166988,0,0,0,2,16,50,1,13,39,0,0,0,0,0,0,705,431,274,26,18,8,301,91,210,205,109,390,0,0,1149,260,11,4,0,0,1,0,1,0,0,0
R01423,ñkäCìπ,ìÏñyí¨,7319,3461,3858,7273,3458,3815,693,357,336,4057,1981,2076,2555,1117,1438,1314,515,799,46,36,90,252,243,2980,2966,7047,1962,701,942,535,368,13,12,8136,7995,252,19,0,1,31,23,0,0,8,44,2,6,4,36,20,5,26,3,24,2323,238,0,5,258,341,0,0,164,275,8,28,11,224,116,54,371,79,151,153,108,77,94.9,11.9,6172928,782301,6060825,1174011,468964,493950,0,1,143,1,32,288,1,16,140,0,0,0,0,1,19,3742,2018,1724,140,88,52,2481,863,1618,640,644,2337,0,0,7445,604,33,27,0,1,2,5,6,7,4,1
R01424,ñkäCìπ,ìﬁà‰ç]í¨,5120,2405,2715,5091,2389,2702,439,233,206,2490,1268,1222,2189,902,1287,1236,451,785,28,21,85,129,190,2312,2297,4829,1292,825,701,452,475,15,10,8819,3979,243,13,0,2,43,15,2,0,8,53,5,7,6,27,15,3,20,4,20,2544,84,0,28,473,928,93,0,63,274,18,8,20,125,65,3,172,44,146,129,18,86,91.9,12.8,4681367,805837,4567334,1102644,618341,297377,0,0,0,1,16,182,1,14,91,0,0,0,0,1,62,2440,1330,1110,76,53,23,2136,770,1366,391,709,1321,1,1,5235,409,47,18,0,1,3,3,8,3,5,1
R01425,ñkäCìπ,è„çªêÏí¨,2841,1292,1549,2824,1281,1543,182,96,86,1201,613,588,1458,583,875,861,291,570,17,11,69,65,95,1479,1475,2721,693,691,430,230,477,5,5,3998,547,110,0,0,1,16,8,0,0,4,32,3,1,0,3,13,0,11,3,15,799,0,0,25,138,269,0,0,22,110,9,1,0,5,51,0,115,9,45,0,0,62,84.5,7.1,3284714,185092,3185261,849314,427980,165235,0,0,0,1,13,79,1,11,38,0,0,0,0,0,0,1042,568,474,124,91,33,1491,537,954,20,284,730,0,0,2729,587,31,3,0,0,3,1,2,1,2,1
R01427,ñkäCìπ,óRêmí¨,4822,2302,2520,4798,2292,2506,401,219,182,2324,1202,1122,2044,851,1193,1135,419,716,24,16,83,142,155,2063,2056,4654,1140,669,683,385,395,12,8,13374,8559,292,30,0,1,24,29,2,0,7,76,3,5,4,29,19,5,21,3,34,1832,170,0,13,134,413,5,0,65,390,23,8,12,102,139,15,184,18,141,302,35,79,89.6,16.8,5201877,615198,5080101,904263,357192,366648,88224,0,0,1,20,193,1,16,90,0,0,0,0,0,0,2597,1411,1186,64,42,22,1705,599,1106,925,434,1223,0,0,4957,0,65,24,0,0,5,4,4,5,5,2
R01428,ñkäCìπ,í∑è¿í¨,10289,4919,5370,10239,4889,5350,1010,520,490,5280,2701,2579,3969,1678,2291,2219,849,1370,26,50,145,256,310,4091,4070,9702,2466,1134,1297,742,603,30,18,16852,15023,480,39,0,2,47,29,0,0,9,115,3,21,16,65,29,7,45,9,44,3738,321,0,9,310,301,0,0,222,790,49,44,282,322,138,27,606,108,209,566,92,120,88.7,11.4,8405150,1233317,8360002,1607571,1163995,756017,0,1,51,1,36,450,1,23,250,0,0,0,0,1,118,5440,2961,2479,155,85,70,3177,1091,2086,1658,681,2913,0,1,10545,0,101,56,1,1,6,4,11,5,24,2
R01429,ñkäCìπ,åIéRí¨,11272,5176,6096,11233,5152,6081,1083,491,592,5528,2769,2759,4636,1894,2742,2598,951,1647,35,60,183,380,419,4964,4935,10734,2806,1710,1527,928,921,30,13,20393,10029,613,37,0,1,58,52,3,3,15,162,8,32,11,67,48,10,53,6,47,5006,337,0,5,542,820,35,5,226,922,81,79,27,268,164,54,847,119,475,317,52,102,99.3,11.4,9219170,1291396,9081770,2080876,1384607,889217,52680,0,0,3,50,495,1,21,226,0,0,0,0,1,119,5531,2970,2561,166,109,57,4179,1443,2736,1119,1160,3166,1,1,11495,959,126,57,1,1,8,8,14,9,21,3
R01430,ñkäCìπ,åéå`í¨,3691,2185,1506,3678,2174,1504,214,113,101,2064,1439,625,1376,610,766,782,297,485,13,12,69,107,183,1320,1293,2642,662,521,386,214,233,5,3,15040,6085,163,20,0,0,17,11,0,0,2,32,2,3,1,17,10,2,22,3,21,1396,117,0,0,133,84,0,0,27,220,10,5,2,56,56,3,500,66,117,159,16,55,72.6,1.7,4876186,294619,4815490,683950,438093,291576,0,0,0,1,15,88,1,12,42,0,0,0,0,1,42,1522,868,654,54,41,13,1845,1130,715,472,163,881,0,1,3125,358,28,12,0,1,4,2,3,2,5,1
R01431,ñkäCìπ,âYâPí¨,1732,845,887,1724,843,881,173,83,90,781,417,364,777,344,433,431,172,259,8,7,30,42,73,777,773,1668,433,271,273,174,126,4,1,10183,5295,87,4,0,1,8,4,0,0,2,22,2,0,0,8,6,2,9,5,14,607,194,0,1,81,22,0,0,15,70,4,0,0,35,14,2,80,28,61,150,16,46,79.4,-3.8,4157483,217549,4012884,518265,648479,192134,1657,0,0,1,14,76,1,14,41,0,0,0,0,0,0,905,493,412,14,10,4,638,258,380,426,95,367,0,0,1765,357,20,6,0,0,3,1,1,0,1,1
R01432,ñkäCìπ,êVè\í√êÏí¨,6484,2976,3508,6465,2968,3497,719,355,364,3099,1535,1564,2666,1086,1580,1537,581,956,19,27,95,208,199,2543,2529,6048,1635,620,869,530,392,20,7,49547,11236,198,6,0,2,30,6,0,0,10,47,2,8,1,18,16,3,16,6,27,1840,63,0,24,258,27,0,0,105,308,7,21,5,152,53,11,525,77,204,292,44,82,77.3,-0.4,7275163,568848,7030388,1553667,745183,614600,4401,1,187,1,26,309,1,17,159,0,0,0,0,1,76,3059,1655,1404,93,57,36,2312,773,1539,718,403,1763,0,1,6551,599,36,13,1,1,2,3,8,4,10,1
R01433,ñkäCìπ,ñÖîwãçí¨,2693,1290,1403,2650,1256,1394,217,111,106,1207,638,569,1269,541,728,704,281,423,43,7,56,51,62,1201,1198,2635,678,381,432,280,224,7,1,4864,4861,140,6,0,0,21,11,1,0,3,40,1,0,3,15,10,6,8,2,13,985,28,0,0,134,296,5,0,28,173,5,0,15,40,37,6,96,35,87,181,4,57,78.6,8.7,3521945,279024,3467589,666048,606392,198608,0,0,0,1,17,98,1,14,59,0,0,0,0,0,0,1332,753,579,38,24,14,1103,402,701,462,250,616,1,0,2840,340,36,14,0,0,1,2,2,4,0,1
R01434,ñkäCìπ,íÅïÉï í¨,2329,1072,1257,2326,1071,1255,229,104,125,1093,544,549,985,411,574,590,220,370,3,14,37,65,66,982,977,2198,583,300,320,200,173,5,5,4718,4428,123,6,0,0,11,8,0,1,4,32,3,5,2,13,12,3,10,2,11,882,97,0,0,89,127,0,2,52,119,6,15,3,74,26,20,122,44,86,141,14,44,91.2,7.1,3158534,238228,3087324,417705,350132,268090,16092,0,0,1,14,100,1,12,48,0,0,0,0,0,0,1167,629,538,34,20,14,871,303,568,393,131,626,0,1,2370,25,26,12,0,0,2,1,1,1,1,1
R01436,ñkäCìπ,âJó≥í¨,2389,1165,1224,2380,1164,1216,194,101,93,1186,634,552,1009,430,579,588,220,368,9,4,44,50,61,926,920,2089,567,263,319,213,158,5,1,19115,7070,115,13,0,0,14,1,0,0,6,26,3,1,2,11,11,1,8,3,15,908,132,0,0,86,2,0,0,73,134,10,2,4,57,34,3,234,10,127,166,1,52,91.5,9.1,4050399,227567,3923636,632870,410966,229814,12801,0,0,1,14,99,1,13,39,0,0,0,0,0,0,1167,652,515,31,19,12,997,393,604,454,111,602,1,0,2241,230,23,8,0,1,1,1,2,1,1,1
R01437,ñkäCìπ,ñkó≥í¨,1724,823,901,1718,820,898,162,77,85,787,403,384,775,343,432,485,207,278,6,11,40,42,67,737,733,1633,420,223,245,162,123,6,1,15870,5628,89,13,0,1,10,2,0,0,3,17,2,2,0,11,9,0,6,3,10,668,183,0,1,153,35,0,0,8,76,10,4,0,77,31,0,37,14,39,132,25,43,92.4,10,4291419,172392,4223592,1149572,306700,177338,2,0,0,1,13,62,1,11,32,0,0,0,0,0,0,895,505,390,15,11,4,651,230,421,414,81,400,1,1,1717,235,16,9,0,0,2,1,1,2,0,1
R01438,ñkäCìπ,è¿ìcí¨,2909,1392,1517,2903,1387,1516,257,122,135,1412,735,677,1240,535,705,716,279,437,6,14,41,107,96,1244,1239,2717,738,386,420,250,174,4,4,28335,8365,146,5,0,0,17,11,0,0,5,40,3,0,2,20,11,5,6,3,18,895,45,0,0,211,98,0,0,72,192,9,0,14,41,28,20,64,45,56,146,14,72,77,-0.7,5438471,313196,5281572,1028320,636299,365337,5585,0,0,1,17,88,1,15,64,0,0,0,0,0,0,1575,864,711,32,21,11,1038,380,658,465,204,884,0,1,2991,270,36,19,0,0,3,2,2,2,1,1
R01452,ñkäCìπ,ëÈê≤í¨,6567,3105,3462,6564,3102,3462,804,435,369,3491,1679,1812,2272,991,1281,1182,477,705,3,30,78,208,205,2658,2649,6378,1824,623,864,528,376,9,10,13942,7670,248,16,0,0,43,17,0,0,11,50,4,4,9,15,18,4,30,6,21,2047,134,0,0,351,121,0,0,290,260,19,12,138,48,106,25,424,35,84,214,145,81,88.2,5,5464963,821067,5315350,1271960,689392,646439,2255,0,0,2,42,306,1,22,218,0,0,0,0,1,92,3159,1646,1513,92,57,35,2336,885,1451,532,419,2162,0,0,6782,573,33,13,0,0,2,2,1,2,3,3
R01453,ñkäCìπ,ìåê_äyí¨,10127,4702,5425,10084,4682,5402,1545,795,750,5638,2664,2974,2929,1232,1697,1544,573,971,43,46,119,323,341,3840,3830,9655,2776,798,1002,611,434,27,17,6850,5416,306,17,0,0,35,20,0,1,15,66,5,16,10,32,28,16,23,4,18,2982,198,0,0,249,274,0,3,125,568,15,84,67,223,410,119,452,95,100,183,60,104,84.5,8.9,6356053,1198196,6146518,1642490,909537,750330,0,2,115,3,62,675,1,28,326,0,0,0,0,0,0,4841,2563,2278,160,84,76,3185,1070,2115,570,736,3417,8,1,10172,390,58,29,2,0,3,4,10,6,4,2
R01454,ñkäCìπ,ìññÉí¨,6319,2912,3407,6309,2906,3403,649,308,341,3011,1480,1531,2659,1124,1535,1532,578,954,10,30,97,158,174,2773,2756,6007,1686,910,891,576,542,23,11,20490,7091,292,15,0,1,25,23,0,0,11,72,3,22,5,27,21,7,32,4,24,2086,366,0,11,157,319,0,0,175,347,8,55,8,116,50,28,242,112,92,342,134,79,85.3,5.9,6422493,591489,6377547,1170729,673607,692958,12193,1,62,2,35,282,1,18,147,0,0,0,0,0,0,3196,1691,1505,98,56,42,2303,819,1484,869,477,1811,7,1,6378,842,58,19,0,0,4,2,3,3,6,1
R01455,ñkäCìπ,î‰ïzí¨,3520,1662,1858,3517,1662,1855,353,174,179,1706,871,835,1461,617,844,848,320,528,3,13,47,81,95,1570,1563,3404,937,517,505,311,299,5,8,8690,4269,184,17,0,0,25,18,0,0,3,38,3,6,6,14,15,3,18,3,15,1065,172,0,0,105,108,0,0,32,174,11,21,77,103,29,11,125,50,47,212,48,56,86.2,10.3,4075340,323504,3910080,720099,622168,257117,0,0,0,1,21,146,1,16,80,0,0,0,0,0,0,1820,1004,816,52,36,16,1294,448,846,486,252,1079,4,1,3610,283,32,11,0,0,4,1,1,2,3,1
R01456,ñkäCìπ,à§ï í¨,2605,1215,1390,2565,1213,1352,221,125,96,1178,585,593,1206,505,701,703,274,429,40,7,48,53,77,1189,1185,2516,648,434,400,248,262,5,1,25013,4653,163,35,0,0,13,18,1,0,3,30,1,0,5,12,11,1,9,5,19,1043,279,0,0,113,147,3,0,19,112,3,0,7,45,18,1,130,90,76,82,50,55,98.7,8.3,3250776,259256,3142954,590056,490053,297825,6402,1,14,1,18,94,1,16,58,0,0,0,0,0,0,1273,683,590,31,18,13,1068,384,684,378,187,695,7,0,2619,398,27,9,0,0,2,1,1,1,1,1
R01457,ñkäCìπ,è„êÏí¨,3500,1708,1792,3452,1688,1764,263,133,130,1687,931,756,1550,644,906,880,342,538,48,17,43,111,151,1913,1901,3420,838,978,508,344,462,12,5,104947,16023,223,8,2,0,18,14,2,0,7,48,2,2,3,51,20,6,14,3,23,1616,115,17,0,192,58,20,0,63,229,11,10,5,466,50,32,189,39,120,36,19,87,91.8,13.3,6495399,614351,6334966,1235227,1182826,416082,141,2,20,1,17,99,1,15,58,0,0,0,0,1,64,1776,1037,739,69,44,25,1392,494,898,208,211,1357,1,0,3393,272,43,27,0,0,3,3,3,3,6,1
R01458,ñkäCìπ,ìåêÏí¨,8314,3877,4437,8048,3771,4277,1085,547,538,4469,2162,2307,2759,1168,1591,1490,572,918,266,40,103,385,282,3405,3391,7825,2125,1037,936,596,490,15,14,24730,7451,327,21,0,0,20,73,0,4,3,74,1,5,8,50,19,9,18,4,18,2941,295,0,0,193,913,0,39,43,395,6,35,21,373,107,55,281,82,103,172,125,84,80.3,12,9287269,927879,9108032,1234620,1110854,551651,47660,1,63,4,58,467,1,25,220,0,0,0,0,1,216,4151,2208,1943,130,75,55,2943,1045,1898,699,709,2736,1,0,8295,153,63,29,0,0,3,3,3,3,7,1
R01459,ñkäCìπ,î¸âlí¨,9668,4495,5173,9582,4459,5123,927,430,497,4992,2479,2513,3749,1586,2163,2133,832,1301,86,42,140,277,294,4213,4205,9461,2408,1370,1262,743,714,35,12,67678,31857,500,30,0,1,33,32,1,1,16,126,3,12,12,114,38,10,30,8,33,3504,246,0,2,291,392,4,5,306,809,32,19,29,569,81,46,329,110,234,373,24,120,85.1,10.8,11536235,1120521,11298221,1942849,1180923,1071965,1209,0,0,7,87,430,2,40,201,0,0,0,0,1,108,4891,2626,2265,180,107,73,3612,1307,2305,1468,459,2789,15,1,9813,1104,106,62,0,1,3,4,8,5,14,2
R01460,ñkäCìπ,è„ïxó«ñÏí¨,10348,5363,4985,10266,5330,4936,1195,642,553,5741,3210,2531,3314,1446,1868,1760,721,1039,60,64,111,522,598,4287,4238,9463,2583,1330,1218,779,565,49,16,23710,12004,459,21,0,0,29,20,1,1,10,113,2,44,8,108,37,9,28,3,25,2759,212,0,0,302,379,4,2,80,569,15,57,19,416,180,107,219,38,160,217,2,93,90.8,7.5,7402308,1026152,7161380,1783376,756086,445669,0,0,0,3,68,488,1,22,272,0,0,0,0,1,76,5617,3355,2262,148,90,58,3108,1114,1994,966,578,3986,13,1,10380,1306,98,79,1,1,4,6,5,7,15,4
R01461,ñkäCìπ,íÜïxó«ñÏí¨,4733,2260,2473,4699,2255,2444,594,295,299,2406,1199,1207,1731,764,967,962,387,575,34,24,81,163,175,1977,1972,4622,1147,606,569,351,305,12,7,10865,6456,154,10,0,1,9,7,0,1,2,39,1,5,0,38,9,5,7,2,18,1445,151,0,12,71,109,0,2,14,410,3,27,0,209,23,68,97,35,214,299,8,68,79.3,8.2,4917985,531198,4793466,959768,932537,364124,5,0,0,4,46,244,1,19,135,0,0,0,0,0,0,2481,1328,1153,57,33,24,1514,556,958,967,216,1260,8,1,4869,589,35,17,1,1,1,2,2,2,3,1
R01462,ñkäCìπ,ìÏïxó«ñÏí¨,2376,1228,1148,2358,1218,1140,250,123,127,1355,772,583,766,328,438,438,161,277,18,10,46,79,100,1075,1061,2102,547,458,230,166,155,8,6,66554,9983,130,7,0,2,12,8,1,0,4,26,1,3,1,23,12,0,9,5,16,877,63,0,44,77,50,3,0,21,117,4,2,1,80,43,0,266,27,79,56,8,58,94.2,14.5,3937257,284811,3861425,628657,364085,445582,1824,0,0,2,22,108,1,14,37,0,0,0,0,1,28,1277,760,517,22,13,9,812,321,491,264,208,792,5,0,2397,316,21,17,0,0,6,1,2,1,4,2
